Sensor Name,Sensor Type,unit,HW Target Value under S0,HW Target Value under S5,UCR,UNC,UNR,LCR,LNC,LNR
SCM_OUTLET_TEMP,scm,C,,,90,NA,NA,NA,NA,NA
SCM_INLET_TEMP,scm,C,,,60,NA,NA,NA,NA,NA
SCM_HSC_OUTPUT_12V_VOLT,scm,Volts,,,12.6,NA,NA,11.4,NA,NA
SCM_HSC_OUTPUT_12V_CURR,scm,Amps,,,5,NA,NA,NA,NA,NA
MB_OUTLET_TEMP,scm,C,,,93,NA,NA,NA,NA,NA
MB_INLET_TEMP,scm,C,,,93,NA,NA,NA,NA,NA
PCH_TEMP,scm,C,,,93,NA,NA,NA,NA,NA
VCCIN_VR_TEMP,scm,C,,,115,NA,NA,NA,NA,NA
1V05COMB_VR_TEMP,scm,C,,,115,NA,NA,NA,NA,NA
SOC_TEMP,scm,C,,,98,NA,NA,NA,NA,NA
SOC_THERM_MARGIN_TEMP,scm,C,,,0,NA,NA,NA,NA,NA
VDDR_VR_TEMP,scm,C,,,115,NA,NA,NA,NA,NA
SOC_DIMMA_TEMP,scm,C,,,85,NA,NA,NA,NA,NA
SOC_DIMMB_TEMP,scm,C,,,85,NA,NA,NA,NA,NA
SOC_PACKAGE_POWER,scm,Watts,,,NA,NA,NA,NA,NA,NA
VCCIN_VR_OUT_POWER,scm,Watts,,,120,NA,NA,NA,NA,NA
VDDR_VR_OUT_POWER,scm,Watts,,,12,NA,NA,NA,NA,NA
SOC_TJMAX_TEMP,scm,C,,,NA,NA,NA,NA,NA,NA
P3V3_MB_VOLT,scm,Volts,,,3.64,NA,NA,2.97,NA,NA
P12V_MB_VOLT,scm,Volts,,,13.18,NA,NA,10.84,NA,NA
P1V05_PCH_VOLT,scm,Volts,,,1.14,NA,NA,0.94,NA,NA
P3V3_STBY_MB_VOLT,scm,Volts,,,3.64,NA,NA,2.97,NA,NA
P5V_STBY_MB_VOLT,scm,Volts,,,5.5,NA,NA,4.54,NA,NA
PV_BAT_VOLT,scm,Volts,,,3.63,NA,NA,2.69,NA,NA
PVDDR_VOLT,scm,Volts,,,1.32,NA,NA,1.07,NA,NA
P1V05_COMB_VOLT,scm,Volts,,,1.14,NA,NA,0.94,NA,NA
1V05COMB_VR_CURR,scm,Amps,,,16,NA,NA,NA,NA,NA
VDDR_VR_CURR,scm,Amps,,,9,NA,NA,NA,NA,NA
VCCIN_VR_CURR,scm,Amps,,,70,NA,NA,NA,NA,NA
VCCIN_VR_VOLT,scm,Volts,,,2.1,NA,NA,1.3,NA,NA
VDDR_VR_VOLT,scm,Volts,,,1.55,NA,NA,0.62,NA,NA
1V05COMB_VR_VOLT,scm,Volts,,,1.14,NA,NA,0.94,NA,NA
